"","time","condition","name","value","lower","upper","iter"
"d1",0.32,"scn1","BrAC",0.219041470040524,0.146290396417292,0.305664983964218,401
"d11",0.65,"scn1","BrAC",0.477039224424173,0.355914184088855,0.592634896425412,371
"d12",0.92,"scn1","BrAC",0.721249663887256,0.566530318358607,0.887910377451384,1082
"d13",1,"scn1","BrAC",0.745564108601388,0.605652917984654,0.868660246609991,290
"d14",1.17,"scn1","BrAC",0.759773103584829,0.657662554642986,0.849902627923577,271
"d15",1.33,"scn1","BrAC",0.7476717505726,0.667728412884424,0.831013511539415,755
"d16",1.5,"scn1","BrAC",0.722209261111104,0.64002803027103,0.805865290228978,647
"d17",1.75,"scn1","BrAC",0.812557975936707,0.73627339531507,0.907592534539551,628
"d18",1.83,"scn1","BrAC",0.815919081373183,0.741730173840345,0.891333313542956,191
"d19",2,"scn1","BrAC",0.804276673735516,0.732543400388531,0.877659654590889,156
"d110",2.17,"scn1","BrAC",0.778871079619753,0.704524084481084,0.853306126042684,263
"d111",2.32,"scn1","BrAC",0.751129582104903,0.678215452635558,0.826182375023862,272
"d112",2.58,"scn1","BrAC",0.69826783608561,0.630646915194511,0.771876950999417,209
"d113",3,"scn1","BrAC",0.609821090873332,0.544550596403851,0.677185810876777,148
"d114",3.5,"scn1","BrAC",0.506017811679073,0.428074685805868,0.570515122257272,149
"d115",4,"scn1","BrAC",0.40615176520967,0.317630947435924,0.47827685032612,239
"d116",4.5,"scn1","BrAC",0.311835493059885,0.223244051343976,0.389267735747696,207
"d117",5,"scn1","BrAC",0.225203148235861,0.143990560613407,0.306400542951578,181
"d118",5.5,"scn1","BrAC",0.149307777873958,0.0630028833575833,0.226752977044279,244
"d119",6,"scn1","BrAC",0.0880773841161299,-0.0554107534857511,0.152568287297978,236
"d120",6.5,"scn1","BrAC",0.0449729927984096,-0.00159263844694259,0.091398543939083,1376
"d121",7,"scn1","BrAC",0.0198929101001121,-0.00164836341257743,0.0580109193643617,1384
"d122",7.5,"scn1","BrAC",0.00792646752289305,-0.00171501649038316,0.0391103773670963,1190
