times,lower,upper,liter,uiter
0.0,0.0,0.0,27,27
0.32,0.14909063275176943,0.30296281911243583,99,273
0.65,0.363553642997378,0.5902940596948453,285,352
0.92,0.5877423994480194,0.8874440450498723,100,97
1.0,0.6106618681362104,0.8640506661810383,119,89
1.17,0.6659767264317636,0.845320291287265,104,272
1.33,0.6713217183360511,0.8204650355953539,81,117
1.5,0.640544303361014,0.8053307156121722,83,128
1.75,0.7366539831509035,0.9044727636693862,368,89
1.83,0.7456943342700713,0.8886302185789212,89,85
2.0,0.7340195536089644,0.8686428482677044,82,108
2.17,0.7046962120446083,0.849262274573866,259,92
2.32,0.6786905615303119,0.8251778443330435,73,286
2.58,0.6341003496801272,0.769348961120449,76,111
3.0,0.5591262874917008,0.6747399418384833,68,455
3.5,0.45903728730494964,0.5674584640812721,76,102
4.0,0.3450594905609951,0.47112438585265604,99,96
4.5,0.2543889776314295,0.38309181394957603,91,111
5.0,0.14766091263905592,0.2978643996680768,399,108
5.5,0.07322786195785091,0.2180356747931016,95,89
6.0,0.004069952984779323,0.14952135135778674,126,88
6.5,0.00014298764487719303,0.08872559343997066,62,65
7.0,7.1616812008557e-5,0.0518703847828932,48,204
7.5,2.5684584103617403e-8,0.030200710093543266,41,380
8.0,3.173508366807799e-5,0.01590706150750128,35,79
8.5,4.562409052673609e-6,0.010258210948664416,28,77
